"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / Thailand","Price / Thailand","Compare At Price / Thailand","Included / International","Price / International","Compare At Price / International","Status"
"daisy-charm-gold-and-white","Daisy Charm, Gold and White","<p style=""font-family: Inter, sans-serif;"">Gold and white enamel petals around a yellow stone.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> 14K Gold Plated<br>
<strong>Stone:</strong> CZ+Enamel<br>
<strong>Size:</strong> 12mm<br>
<strong>Weight:</strong> 2.3g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Nature, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB145","2","shopify","15","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB145.jpg","1","Daisy Charm, Gold and White","FALSE","Daisy Charm, Gold and White | Orloff of Denmark","Gold and white enamel petals around a yellow stone.","","","","","","","","","","","","","","","g","","6.13","","","","","","","draft"
"ships-wheel-charm","Ship's Wheel Charm","<p style=""font-family: Inter, sans-serif;"">Ship's wheel framing a rose gold anchor and heart.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: White<br>
<strong>Size:</strong> 11mm<br>
<strong>Weight:</strong> 1g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB146","1","shopify","10","deny","manual","29","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB146.jpg","1","Ship's Wheel Charm","FALSE","Ship's Wheel Charm | Orloff of Denmark","Ship's wheel framing a rose gold anchor and heart.","","","","","","","","","","","","","","","g","","4.20","","","","","","","draft"
"giraffe-charm","Giraffe Charm","<p style=""font-family: Inter, sans-serif;"">Yellow enamel giraffe dangle with silver markings.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Size:</strong> 18mm<br>
<strong>Weight:</strong> 1.7g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB149","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB149.jpg","1","Giraffe Charm","FALSE","Giraffe Charm | Orloff of Denmark","Yellow enamel giraffe dangle with silver markings.","","","","","","","","","","","","","","","g","","4.51","","","","","","","draft"
"footballer-charm","Footballer Charm","<p style=""font-family: Inter, sans-serif;"">Boy in a cap holding a black and white enamel football.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black Enamel<br>
<strong>Size:</strong> 22mm<br>
<strong>Weight:</strong> 1.97g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB15","2","shopify","10","deny","manual","29","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB15.jpg","1","Footballer Charm","FALSE","Footballer Charm | Orloff of Denmark","Boy in a cap holding a black and white enamel football.","","","","","","","","","","","","","","","g","","3.50","","","","","","","draft"
"lucky-star-charm-gold","Lucky Star Charm, Gold","<p style=""font-family: Inter, sans-serif;"">Gold star bead engraved you are my lucky star.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> 14K Gold Plated<br>
<strong>Size:</strong> 10mm<br>
<strong>Weight:</strong> 3g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB150","3","shopify","9","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB150.jpg","1","Lucky Star Charm, Gold","FALSE","Lucky Star Charm, Gold | Orloff of Denmark","Gold star bead engraved you are my lucky star.","","","","","","","","","","","","","","","g","","4.85","","","","","","","draft"
"sunflower-charm-gold","Sunflower Charm, Gold","<p style=""font-family: Inter, sans-serif;"">Gold petals around a pave centre.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: White<br>
<strong>Size:</strong> 13mm<br>
<strong>Weight:</strong> 1.5g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Nature, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB151","2","shopify","9","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB151.jpg","1","Sunflower Charm, Gold","FALSE","Sunflower Charm, Gold | Orloff of Denmark","Gold petals around a pave centre.","","","","","","","","","","","","","","","g","","5.03","","","","","","","draft"
"stars-and-moon-charm-blue","Stars and Moon Charm, Blue","<p style=""font-family: Inter, sans-serif;"">Cut-out stars and crescents with blue stones, engraved QUEEN.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: Blue<br>
<strong>Size:</strong> 11mm<br>
<strong>Weight:</strong> 3g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Nature, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB152","3","shopify","10","deny","manual","49","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB152.jpg","1","Stars and Moon Charm, Blue","FALSE","Stars and Moon Charm, Blue | Orloff of Denmark","Cut-out stars and crescents with blue stones, engraved QUEEN.","","","","","","","","","","","","","","","g","","6.82","","","","","","","draft"
"flower-heart-charm","Flower Heart Charm","<p style=""font-family: Inter, sans-serif;"">Polished heart with pink stone flowers and green enamel leaves.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Pink CZ & White CZ + Green Enamel<br>
<strong>Size:</strong> 10.5mm<br>
<strong>Weight:</strong> 2.30g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB153","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB153.jpg","1","Flower Heart Charm","FALSE","Flower Heart Charm | Orloff of Denmark","Polished heart with pink stone flowers and green enamel leaves.","","","","","","","","","","","","","","","g","","5.47","","","","","","","draft"
"i-love-my-family-charm","I Love My Family Charm","<p style=""font-family: Inter, sans-serif;"">Girl embracing a heart lettered I love my family.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Red Enamel<br>
<strong>Size:</strong> 12mm<br>
<strong>Weight:</strong> 2.40g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB154","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB154.jpg","1","I Love My Family Charm","FALSE","I Love My Family Charm | Orloff of Denmark","Girl embracing a heart lettered I love my family.","","","","","","","","","","","","","","","g","","5.47","","","","","","","draft"
"cocktail-charm","Cocktail Charm","<p style=""font-family: Inter, sans-serif;"">Footed glass with a straw and a slice of fruit on the rim.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Green & Pink Enamel<br>
<strong>Size:</strong> 12mm<br>
<strong>Weight:</strong> 1.80g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB155","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB155.jpg","1","Cocktail Charm","FALSE","Cocktail Charm | Orloff of Denmark","Footed glass with a straw and a slice of fruit on the rim.","","","","","","","","","","","","","","","g","","4.59","","","","","","","draft"
"shopping-bag-charm","Shopping Bag Charm","<p style=""font-family: Inter, sans-serif;"">Bag with rope handles, a pink pave heart and the words go shopping.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Red CZ<br>
<strong>Size:</strong> 11.5mm<br>
<strong>Weight:</strong> 2.30g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB156","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB156.jpg","1","Shopping Bag Charm","FALSE","Shopping Bag Charm | Orloff of Denmark","Bag with rope handles, a pink pave heart and the words go shopping.","","","","","","","","","","","","","","","g","","5.03","","","","","","","draft"
"heartbeat-charm","Heartbeat Charm","<p style=""font-family: Inter, sans-serif;"">Pave heart crossed by an ECG line ending in a red enamel heart.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> White CZ & Red Enamel<br>
<strong>Size:</strong> 10mm<br>
<strong>Weight:</strong> 1.80g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB157","2","shopify","9","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB157.jpg","1","Heartbeat Charm","FALSE","Heartbeat Charm | Orloff of Denmark","Pave heart crossed by an ECG line ending in a red enamel heart.","","","","","","","","","","","","","","","g","","5.03","","","","","","","draft"
"cool-drink-charm","Cool Drink Charm","<p style=""font-family: Inter, sans-serif;"">Cup with a blue enamel rim, a straw and a face in dark sunglasses.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Enamel<br>
<strong>Size:</strong> 13mm<br>
<strong>Weight:</strong> 2.20g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB159","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB159.jpg","1","Cool Drink Charm","FALSE","Cool Drink Charm | Orloff of Denmark","Cup with a blue enamel rim, a straw and a face in dark sunglasses.","","","","","","","","","","","","","","","g","","5.03","","","","","","","draft"
"gondola-charm","Gondola Charm","<p style=""font-family: Inter, sans-serif;"">Gondolier poling a gondola, pink and blue enamel.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Blue+ Pink Enamel<br>
<strong>Size:</strong> 11mm<br>
<strong>Weight:</strong> 1.81g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB16","2","shopify","10","deny","manual","29","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB16.jpg","1","Gondola Charm","FALSE","Gondola Charm | Orloff of Denmark","Gondolier poling a gondola, pink and blue enamel.","","","","","","","","","","","","","","","g","","3.72","","","","","","","draft"
"casino-charm","Casino Charm","<p style=""font-family: Inter, sans-serif;"">Slot machine showing three red sevens under a CASINO sign.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Light Green Enamel<br>
<strong>Size:</strong> 9.5mm<br>
<strong>Weight:</strong> 2.10g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB160","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB160.jpg","1","Casino Charm","FALSE","Casino Charm | Orloff of Denmark","Slot machine showing three red sevens under a CASINO sign.","","","","","","","","","","","","","","","g","","5.03","","","","","","","draft"
"gift-box-charm","Gift Box Charm","<p style=""font-family: Inter, sans-serif;"">Wrapped box with a red enamel ribbon, pink spots and a pink bow.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Red & Pink Enamel<br>
<strong>Size:</strong> 11.5mm<br>
<strong>Weight:</strong> 2.40g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB161","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB161.jpg","1","Gift Box Charm","FALSE","Gift Box Charm | Orloff of Denmark","Wrapped box with a red enamel ribbon, pink spots and a pink bow.","","","","","","","","","","","","","","","g","","5.47","","","","","","","draft"
"wristwatch-charm","Wristwatch Charm","<p style=""font-family: Inter, sans-serif;"">Silver watch face on a green enamel strap.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Green Enamel<br>
<strong>Size:</strong> 13mm<br>
<strong>Weight:</strong> 1.50g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB162","2","shopify","9","deny","manual","29","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB162.jpg","1","Wristwatch Charm","FALSE","Wristwatch Charm | Orloff of Denmark","Silver watch face on a green enamel strap.","","","","","","","","","","","","","","","g","","4.38","","","","","","","draft"
"hot-air-balloon-charm","Hot Air Balloon Charm","<p style=""font-family: Inter, sans-serif;"">Rainbow enamel balloon lettered LOVE with a heart dangle.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Pink & White CZ + Green & Pink &<br>
<strong>Size:</strong> 18mm<br>
<strong>Weight:</strong> 2.20g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB163","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB163.jpg","1","Hot Air Balloon Charm","FALSE","Hot Air Balloon Charm | Orloff of Denmark","Rainbow enamel balloon lettered LOVE with a heart dangle.","","","","","","","","","","","","","","","g","","5.47","","","","","","","draft"
"birthday-cake-charm","Birthday Cake Charm","<p style=""font-family: Inter, sans-serif;"">Tiered cake with three candles, lettered birthday.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Size:</strong> 9.5mm<br>
<strong>Weight:</strong> 2.10g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB164","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB164.jpg","1","Birthday Cake Charm","FALSE","Birthday Cake Charm | Orloff of Denmark","Tiered cake with three candles, lettered birthday.","","","","","","","","","","","","","","","g","","4.59","","","","","","","draft"
"ice-lolly-charm","Ice Lolly Charm","<p style=""font-family: Inter, sans-serif;"">Lolly in cream and chocolate enamel on a silver stick.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Milky Pink & Brown Enamel<br>
<strong>Size:</strong> 12.5mm<br>
<strong>Weight:</strong> 1.70g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB165","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB165.jpg","1","Ice Lolly Charm","FALSE","Ice Lolly Charm | Orloff of Denmark","Lolly in cream and chocolate enamel on a silver stick.","","","","","","","","","","","","","","","g","","4.59","","","","","","","draft"
"carrot-charm","Carrot Charm","<p style=""font-family: Inter, sans-serif;"">Orange enamel carrot with a green enamel top.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Green & Orange Enamel<br>
<strong>Size:</strong> 15mm<br>
<strong>Weight:</strong> 1.80g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Nature, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB166","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB166.jpg","1","Carrot Charm","FALSE","Carrot Charm | Orloff of Denmark","Orange enamel carrot with a green enamel top.","","","","","","","","","","","","","","","g","","4.81","","","","","","","draft"
"cow-charm","Cow Charm","<p style=""font-family: Inter, sans-serif;"">Standing cow with black enamel patches and a red udder.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black & Red Enamel<br>
<strong>Size:</strong> 12mm<br>
<strong>Weight:</strong> 2.10g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB168","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB168.jpg","1","Cow Charm","FALSE","Cow Charm | Orloff of Denmark","Standing cow with black enamel patches and a red udder.","","","","","","","","","","","","","","","g","","5.03","","","","","","","draft"
"pony-charm","Pony Charm","<p style=""font-family: Inter, sans-serif;"">White pony with a striped mane and a pink enamel heart. Could read as a zebra.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Pink Enamel<br>
<strong>Size:</strong> 15mm<br>
<strong>Weight:</strong> 3.10g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB169","3","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB169.jpg","1","Pony Charm","FALSE","Pony Charm | Orloff of Denmark","White pony with a striped mane and a pink enamel heart.","","","","","","","","","","","","","","","g","","6.34","","","","","","","draft"
"sisters-charm","Sisters Charm","<p style=""font-family: Inter, sans-serif;"">Two girls side by side in mint and pink enamel dresses.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Blue+ Pink Enamel<br>
<strong>Size:</strong> 10mm<br>
<strong>Weight:</strong> 2.95g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB17","3","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB17.jpg","1","Sisters Charm","FALSE","Sisters Charm | Orloff of Denmark","Two girls side by side in mint and pink enamel dresses.","","","","","","","","","","","","","","","g","","5.48","","","","","","","draft"
"police-box-charm","Police Box Charm","<p style=""font-family: Inter, sans-serif;"">Police box set with blue and clear stones for windows.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> White & Blue CZ<br>
<strong>Size:</strong> 14mm<br>
<strong>Weight:</strong> 2.00g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB170","2","shopify","9","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB170.jpg","1","Police Box Charm","FALSE","Police Box Charm | Orloff of Denmark","Police box set with blue and clear stones for windows.","","","","","","","","","","","","","","","g","","4.59","","","","","","","draft"
